,ctarget
268567,normal
3694702,dos
4326536,dos
2083404,dos
2389504,dos
3537346,dos
3846212,dos
2919370,dos
4397573,dos
1890349,dos
4297744,dos
280181,normal
1125509,dos
968497,dos
2678537,dos
4645612,dos
4311133,dos
149652,normal
4378241,dos
2922356,dos
406307,normal
3675707,normal
3760827,dos
4477268,normal
429879,dos
1858698,dos
1580813,dos
960365,dos
1125838,dos
514237,normal
2417015,dos
758632,normal
3442436,normal
2593107,dos
1230318,dos
3453179,normal
1202438,dos
186115,normal
2306828,dos
754732,normal
4242557,dos
2016992,dos
2337877,dos
1248665,dos
1220810,dos
2421154,dos
283911,normal
128961,normal
1717576,dos
3552810,dos
116128,normal
1616597,dos
417212,normal
1445255,normal
4117782,dos
2046296,dos
1792498,dos
3935951,dos
794135,normal
2753336,dos
1924422,dos
2421151,dos
3406090,normal
2513605,dos
3683887,dos
1376079,normal
1481394,dos
3738350,dos
814384,normal
600790,dos
2719420,dos
2171083,dos
1910303,dos
4887665,normal
4846648,dos
1866169,dos
3057534,dos
1072237,dos
2405348,dos
2676076,dos
1094234,dos
3170008,dos
2488730,dos
1987379,dos
4713669,dos
407441,normal
2272175,dos
4798737,normal
813973,normal
1676672,dos
2226155,dos
644304,dos
4761381,dos
3430183,probe
4848726,dos
4580296,dos
2703532,dos
3207895,dos
3246502,dos
1095817,dos
816435,normal
3412999,normal
993134,dos
4041879,dos
1572295,dos
4362191,dos
1151678,dos
4337769,dos
4482318,normal
30612,normal
187673,normal
91112,dos
2695961,dos
2945063,dos
1218119,dos
4702239,dos
4752619,dos
801971,normal
339607,normal
4354849,dos
1253076,dos
3132898,dos
2101105,dos
3838772,dos
998364,dos
4037321,dos
3909605,dos
1486398,dos
3297456,dos
3912205,dos
1385672,probe
1059165,normal
2932921,dos
2772431,dos
3405801,normal
1921075,dos
3127266,dos
1722882,dos
4738862,dos
3386012,dos
1259976,dos
4593475,dos
1412311,normal
2358795,dos
4876500,normal
3038186,dos
4866671,dos
3478082,dos
2780063,dos
2766037,dos
1611468,dos
3014285,dos
2999139,dos
3344895,dos
4794577,normal
1525153,dos
3238704,dos
1618132,dos
952930,dos
1725879,dos
2570169,dos
2389925,dos
2955420,dos
1914830,dos
2841882,dos
1776111,dos
4412202,dos
2256601,dos
541089,dos
3238590,dos
1088791,dos
3812796,dos
4295839,dos
64639,normal
1587066,dos
847419,normal
1782015,dos
1008865,dos
3650938,dos
2636099,dos
1225155,dos
374388,normal
3418530,normal
5634,normal
3586729,dos
4017276,dos
542557,dos
1301692,dos
3931526,dos
1522039,dos
4771118,normal
4158823,dos
1477308,dos
2611003,dos
4431711,dos
241390,normal
4017355,dos
654978,dos
4514718,normal
934411,dos
363433,normal
1994032,dos
4002695,dos
2581568,dos
2078112,dos
1342692,normal
729978,normal
2856603,dos
2085146,dos
2336484,dos
3166366,dos
2968101,dos
2399233,dos
2249055,dos
363549,normal
1489461,dos
4138276,dos
1824944,dos
2988196,dos
3651127,dos
2322851,dos
1168757,dos
3169654,dos
3194524,dos
3832423,dos
1998981,dos
2034893,dos
4833916,dos
4300629,dos
4143477,dos
3593273,dos
1132723,dos
4240820,dos
1943034,dos
3024424,dos
962241,dos
547397,dos
948328,dos
78797,dos
2833216,dos
1846388,dos
533132,dos
4527156,normal
400883,normal
3919832,dos
87145,dos
2881385,dos
953458,dos
1017920,normal
3670258,dos
2097524,dos
4032880,dos
2385170,dos
1110141,dos
3121777,dos
2689089,dos
1942498,dos
4161081,dos
184670,normal
833264,normal
1311620,dos
767364,normal
4686858,dos
3618323,dos
4052733,dos
2544104,dos
3427728,normal
2211725,dos
272228,normal
836274,normal
4704181,dos
994141,dos
4029332,dos
337793,normal
4050216,dos
788566,normal
3293995,dos
2726852,dos
2343051,dos
1060275,dos
915850,dos
3023017,dos
10351,normal
395908,dos
3613841,dos
866425,normal
1091533,dos
163295,normal
898090,probe
241749,normal
2610205,dos
2182078,dos
3243349,dos
7470,normal
4279315,dos
3442378,normal
773909,normal
3579586,dos
3110133,dos
2271253,dos
3394788,dos
1584820,dos
367377,normal
4159379,dos
2865561,dos
60221,normal
3591193,dos
682060,dos
1689110,dos
895065,probe
3857387,dos
3469923,dos
1316043,dos
4462388,normal
3458126,normal
3203283,dos
2803832,dos
2416111,dos
18159,normal
2813178,dos
3640656,dos
1680533,dos
2177643,dos
3065794,dos
4158037,dos
4488199,normal
2298841,dos
3714919,dos
3487527,dos
931257,dos
3462037,dos
4676435,dos
4659850,dos
